sep=,
"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T365","Проверка запуска программы","Надежда Петровская","C30","","","","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/17/2021 1:17 PM","Functional",""
"T366","Копирование файла текстового формата","Надежда Петровская","C47","","","17s","","","","","","Critical","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/20/2021 11:02 AM","Other",""
"T367","Копирование файла ауди формата","Надежда Петровская","C54","","","75s","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/20/2021 10:52 AM","Other",""
"T368","Добавление нескольких файлов одновременно","Надежда Петровская","C59","","","9s","","","","","","Critical","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Failed","Надежда Петровская","4/20/2021 11:01 AM","Other",""
"T369","Добавление файла  в программу при переноски документа","Надежда Петровская","C82","Файл не перемещен ","","4s","","","","","","Critical","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Failed","Надежда Петровская","4/20/2021 10:55 AM","Other",""
"T370","Копирование удаленного файла","Надежда Петровская","C86","Файл не скопирован","","33s","","","","","","Critical","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Failed","Надежда Петровская","4/20/2021 11:00 AM","Other",""
"T1770","Проверка нажатия кнопок на панели","Надежда Петровская","C236","","","9s","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/20/2021 11:03 AM","Other",""
"T1784","Загрузить файл размера 16.6.МБ","Надежда Петровская","C237","","","29s","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/21/2021 7:28 PM","Other",""
"T1851","Удаление файла с интерфейса","Надежда Петровская","C291","","","23s","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/21/2021 7:29 PM","Other",""
"T1865","Копирование нескольких файлов разного формата одновременно","Надежда Петровская","C292","","","55s","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/21/2021 7:32 PM","Other",""
"T1879","Скопировать программу (телеграмм)","Надежда Петровская","C293","","","27s","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/20/2021 11:13 AM","Other",""
"T1893","Скопировать файл jpg на веб-сайт","Надежда Петровская","C294","","","32s","","","","","","Medium","","HR-5","","R11","Функциональные тесты","1","Открыть программу","Passed","Надежда Петровская","4/20/2021 11:18 AM","Other",""
"T371","Размер кнопок","Надежда Петровская","C89","Кнопки разных размеров ","","9s","","","","","","Critical","","HR-5","","R11","Проверить  интерфейс","2","Открыть приложение hardload","Failed","Надежда Петровская","4/20/2021 11:06 AM","Other",""
"T1742","Размер окна приложения","Надежда Петровская","C234","Окно приложения не меняет своих размеров","","10s","","","","","","Medium","","HR-5","","R11","Проверить  интерфейс","2","Открыть приложение hardload","Failed","Надежда Петровская","4/20/2021 11:07 AM","Other",""
"T1756","Всплывающие подсказки","Надежда Петровская","C235","","","12s","","","","","","Medium","","HR-5","","R11","Проверить  интерфейс","2","Открыть приложение hardload","Passed","Надежда Петровская","4/20/2021 11:08 AM","Other",""
